start,end,n_points,peak_score
2009-05-25 12:48:00,2009-05-25 13:09:00,43,686251.1
2011-02-23 19:26:30,2011-02-23 19:41:00,30,385.82352
2007-04-14 08:00:00,2007-04-14 08:12:30,26,36.68191
2011-11-24 17:06:30,2011-11-24 17:17:30,23,439.60855
2012-06-20 22:35:00,2012-06-20 22:45:00,21,163.74986
2011-02-23 19:12:00,2011-02-23 19:21:00,19,76.02202
2012-06-20 22:24:30,2012-06-20 22:32:30,17,4.599199
2013-09-12 01:52:00,2013-09-12 01:59:30,16,11.835662
2011-11-24 16:48:00,2011-11-24 16:55:30,16,9.241769
2011-06-09 02:50:00,2011-06-09 02:57:00,15,39.545494
2011-06-09 02:31:00,2011-06-09 02:38:00,15,2.3862174
2011-11-24 16:56:30,2011-11-24 17:03:00,14,11.938011
2011-06-09 02:41:00,2011-06-09 02:46:00,11,2.785116
2011-06-09 02:25:00,2011-06-09 02:30:00,11,1.2167567
2010-08-18 22:27:00,2010-08-18 22:31:30,10,9.419027
2013-09-12 01:39:30,2013-09-12 01:43:30,9,6.993969
2011-02-23 19:22:00,2011-02-23 19:25:30,8,17.243288
2009-01-15 23:08:30,2009-01-15 23:11:30,7,0.7366661
2009-03-13 03:07:30,2009-03-13 03:10:30,7,197.84059
2009-01-15 22:57:30,2009-01-15 23:00:30,7,3.7403927
2013-09-12 01:48:00,2013-09-12 01:51:00,7,6.460958
2009-03-13 03:02:00,2009-03-13 03:04:30,6,18.70194
2009-12-10 13:07:00,2009-12-10 13:09:30,6,0.887357
2009-01-27 02:31:30,2009-01-27 02:34:00,6,0.647697
2013-09-12 01:44:30,2013-09-12 01:47:00,6,9.077718
2009-12-10 12:56:30,2009-12-10 12:59:00,6,1.7783282
2009-03-13 02:53:30,2009-03-13 02:55:30,5,3.7387514
2009-03-13 02:27:00,2009-03-13 02:29:00,5,0.7880176
2009-01-27 03:05:00,2009-01-27 03:07:00,5,0.6585725
2009-01-27 03:02:00,2009-01-27 03:04:00,5,0.8467808
2009-01-27 03:09:30,2009-01-27 03:11:30,5,0.9123041
2009-01-27 02:24:00,2009-01-27 02:25:30,4,0.8778406
2011-11-24 17:04:00,2011-11-24 17:05:30,4,8.671299
2009-01-15 23:06:00,2009-01-15 23:07:30,4,1.1347431
2008-09-09 19:33:30,2008-09-09 19:35:00,4,3.5356398
2007-10-23 01:13:00,2007-10-23 01:14:00,3,0.2715107
2012-07-04 04:25:00,2012-07-04 04:26:00,3,0.2629418
2012-07-02 21:32:00,2012-07-02 21:33:00,3,0.35064802
2008-04-03 23:42:00,2008-04-03 23:43:00,3,0.461044
2007-06-28 05:21:00,2007-06-28 05:22:00,3,0.25793275
2009-03-13 02:47:30,2009-03-13 02:48:30,3,1.7664833
2011-05-17 22:18:00,2011-05-17 22:19:00,3,0.29957223
2009-10-11 20:17:30,2009-10-11 20:18:30,3,0.3141179
2010-03-09 00:49:00,2010-03-09 00:50:00,3,0.26457733
2012-07-20 04:02:00,2012-07-20 04:03:00,3,0.300364
2011-08-13 19:46:30,2011-08-13 19:47:30,3,0.46242404
2012-06-19 01:47:30,2012-06-19 01:48:30,3,0.3087086
2012-06-19 07:06:00,2012-06-19 07:07:00,3,0.35871872
2012-11-02 13:46:30,2012-11-02 13:47:30,3,0.3432568
2007-11-01 02:17:00,2007-11-01 02:18:00,3,0.25186655
2009-01-27 02:53:30,2009-01-27 02:54:30,3,3.6445434
2012-12-06 12:01:00,2012-12-06 12:02:00,3,4.29399
2008-06-26 21:33:00,2008-06-26 21:34:00,3,0.2315289
2010-12-26 12:04:00,2010-12-26 12:05:00,3,0.30583888
2008-07-01 19:54:30,2008-07-01 19:55:30,3,0.37514204
2012-04-07 06:19:30,2012-04-07 06:20:30,3,0.25880063
2009-12-10 13:02:00,2009-12-10 13:03:00,3,1.1366575
2012-12-06 12:06:00,2012-12-06 12:07:00,3,3.064605
2012-04-22 22:03:00,2012-04-22 22:04:00,3,0.3286848
2010-03-19 04:30:00,2010-03-19 04:31:00,3,0.3001275
2011-07-22 14:25:00,2011-07-22 14:26:00,3,0.32361177
2012-07-04 22:36:30,2012-07-04 22:37:30,3,0.3227523
2013-06-29 04:18:00,2013-06-29 04:19:00,3,0.26585025
2008-07-07 07:16:00,2008-07-07 07:17:00,3,0.3620923
2011-06-09 02:39:00,2011-06-09 02:40:00,3,1.3580331
2007-07-22 07:56:00,2007-07-22 07:57:00,3,0.34768963
2009-03-13 03:05:30,2009-03-13 03:06:30,3,8.557164
2010-12-01 22:03:30,2010-12-01 22:04:30,3,0.27101883
2010-12-09 09:50:00,2010-12-09 09:50:30,2,0.21518146
2010-03-08 16:14:30,2010-03-08 16:15:00,2,0.2568478
2010-12-25 05:55:30,2010-12-25 05:56:00,2,0.2703879
2007-10-04 08:19:30,2007-10-04 08:20:00,2,0.3142183
2007-11-01 23:06:00,2007-11-01 23:06:30,2,0.3496451
2007-10-05 02:12:00,2007-10-05 02:12:30,2,0.26487842
2013-08-31 18:41:30,2013-08-31 18:42:00,2,0.23956086
2010-12-20 20:57:00,2010-12-20 20:57:30,2,0.27450258
2011-11-07 06:42:00,2011-11-07 06:42:30,2,0.26181054
2012-07-17 12:32:30,2012-07-17 12:33:00,2,0.2826014
2007-10-29 21:13:00,2007-10-29 21:13:30,2,0.26316577
2012-07-10 07:24:00,2012-07-10 07:24:30,2,0.3647888
2011-11-09 15:37:00,2011-11-09 15:37:30,2,0.24542156
2010-12-17 15:39:00,2010-12-17 15:39:30,2,0.28392112
2012-12-27 17:22:30,2012-12-27 17:23:00,2,0.23380676
2007-10-26 19:23:00,2007-10-26 19:23:30,2,0.23944414
2010-12-15 17:55:30,2010-12-15 17:56:00,2,0.22750446
2007-10-26 18:08:30,2007-10-26 18:09:00,2,0.26535314
2013-08-10 06:09:00,2013-08-10 06:09:30,2,0.25097615
2010-12-14 19:45:00,2010-12-14 19:45:30,2,0.25544104
2010-03-12 22:44:30,2010-03-12 22:45:00,2,0.31387833
2010-12-12 08:01:30,2010-12-12 08:02:00,2,0.27352375
2007-10-23 06:12:00,2007-10-23 06:12:30,2,0.23938832
2007-10-05 19:10:00,2007-10-05 19:10:30,2,0.25783497
2013-10-01 01:13:00,2013-10-01 01:13:30,2,2.8630688
2007-08-31 03:23:30,2007-08-31 03:24:00,2,0.22349584
2011-01-24 09:21:00,2011-01-24 09:21:30,2,0.23815444
2012-08-05 17:48:30,2012-08-05 17:49:00,2,0.28728038
2012-12-16 03:08:00,2012-12-16 03:08:30,2,0.25125292
2012-12-14 19:53:00,2012-12-14 19:53:30,2,0.31962723
2011-09-23 01:21:30,2011-09-23 01:22:00,2,0.22064939
2007-08-19 15:53:30,2007-08-19 15:54:00,2,0.2587744
2011-02-08 10:04:00,2011-02-08 10:04:30,2,0.23584267
2011-09-16 12:46:00,2011-09-16 12:46:30,2,0.26290405
2012-08-25 11:47:30,2012-08-25 11:48:00,2,0.24273615
2012-07-23 23:18:00,2012-07-23 23:18:30,2,0.24215093
2011-09-11 16:19:30,2011-09-11 16:20:00,2,0.23680376
2007-08-08 00:57:30,2007-08-08 00:58:00,2,0.2641019
2012-08-26 12:19:00,2012-08-26 12:19:30,2,0.28949547
2011-02-19 12:44:30,2011-02-19 12:45:00,2,0.23339292
2007-08-03 16:43:30,2007-08-03 16:44:00,2,0.30163136
2012-12-06 12:03:00,2012-12-06 12:03:30,2,1.3573688
2009-01-27 02:51:30,2009-01-27 02:52:00,2,0.65835583
2011-09-05 14:11:00,2011-09-05 14:11:30,2,0.2398053
2011-03-08 22:33:00,2011-03-08 22:33:30,2,0.23368253
2011-09-03 00:57:00,2011-09-03 00:57:30,2,0.23800905
2011-03-12 16:01:30,2011-03-12 16:02:00,2,0.2242629
2007-07-22 15:40:00,2007-07-22 15:40:30,2,0.26927194
2009-01-23 19:25:30,2009-01-23 19:26:00,2,2.8250923
2007-09-29 11:58:00,2007-09-29 11:58:30,2,7.728192
2010-03-05 13:52:30,2010-03-05 13:53:00,2,0.24196781
2007-09-29 11:55:30,2007-09-29 11:56:00,2,0.57921505
2013-09-05 18:33:00,2013-09-05 18:33:30,2,3.4305778
2007-09-29 02:01:00,2007-09-29 02:01:30,2,0.22738196
2008-11-30 23:32:00,2008-11-30 23:32:30,2,0.26100874
2010-12-28 04:35:00,2010-12-28 04:35:30,2,0.22919707
2007-09-26 23:13:30,2007-09-26 23:14:00,2,0.28593975
2011-10-30 05:08:30,2011-10-30 05:09:00,2,0.23769851
2007-09-26 18:02:30,2007-09-26 18:03:00,2,0.22692342
2011-10-29 22:41:00,2011-10-29 22:41:30,2,0.2634409
2012-07-20 02:37:00,2012-07-20 02:37:30,2,0.3128872
2010-02-12 18:28:30,2010-02-12 18:29:00,2,0.24138774
2007-09-23 06:58:00,2007-09-23 06:58:30,2,0.31036177
2007-09-21 11:39:30,2007-09-21 11:40:00,2,0.2607922
2010-12-09 03:55:00,2010-12-09 03:55:30,2,0.36694366
2013-09-09 18:49:00,2013-09-09 18:49:30,2,0.26983884
2007-09-19 10:38:00,2007-09-19 10:38:30,2,0.23128745
2013-09-12 01:36:30,2013-09-12 01:37:00,2,0.58089966
2007-09-16 10:05:00,2007-09-16 10:05:30,2,0.23675089
2008-12-23 00:49:00,2008-12-23 00:49:30,2,0.27327117
2013-09-24 00:36:00,2013-09-24 00:36:30,2,0.3695635
2013-09-25 23:47:30,2013-09-25 23:48:00,2,0.27124536
2007-09-10 00:17:00,2007-09-10 00:17:30,2,0.21781899
2012-12-17 03:24:00,2012-12-17 03:24:30,2,0.25056392
2012-07-20 13:40:30,2012-07-20 13:41:00,2,0.28716716
2010-10-05 05:45:30,2010-10-05 05:46:00,2,0.27927014
2008-07-15 10:02:00,2008-07-15 10:02:30,2,0.3263689
2013-04-24 05:00:30,2013-04-24 05:01:00,2,0.22176479
2008-07-15 16:09:30,2008-07-15 16:10:00,2,0.31838506
2008-04-09 01:15:00,2008-04-09 01:15:30,2,0.30577207
2008-07-18 18:38:30,2008-07-18 18:39:00,2,0.2807464
2012-05-29 14:03:30,2012-05-29 14:04:00,2,0.2687387
