start,end,n_points,peak_score
2003-01-03 04:40:00,2003-01-04 12:34:00,3829,0.28422076
2002-12-31 05:06:30,2003-01-01 12:34:00,3776,0.5647074
2002-12-28 15:44:30,2002-12-29 16:52:30,3017,0.31588727
2002-12-16 13:26:30,2002-12-16 19:45:00,758,0.50589675
2003-01-09 15:29:30,2003-01-09 18:38:30,379,0.16484813
2003-05-23 01:28:00,2003-05-23 04:16:30,338,1.3041983
2002-12-14 15:14:00,2002-12-14 17:53:30,320,1.6177373
2003-06-12 16:01:00,2003-06-12 18:40:30,320,1.3951629
2002-11-30 00:13:30,2002-11-30 02:50:30,315,1.511208
2002-12-10 15:11:00,2002-12-10 17:20:30,260,2.9439843
2002-11-05 05:45:30,2002-11-05 07:37:00,224,1.3984113
2002-12-02 02:20:30,2002-12-02 04:05:00,210,2.6505697
2003-03-05 08:33:00,2003-03-05 10:13:30,202,0.27484164
2002-12-18 01:00:30,2002-12-18 02:27:30,175,1.6060758
2002-12-19 21:17:30,2002-12-19 22:39:30,165,0.39260826
2002-11-15 17:45:30,2002-11-15 18:58:00,146,0.15805665
2003-02-08 16:25:30,2003-02-08 17:35:30,141,0.170541
2002-12-19 04:44:30,2002-12-19 05:51:00,134,0.67962235
2003-06-11 03:15:30,2003-06-11 04:19:00,128,2.8240216
2002-10-03 06:33:00,2002-10-03 07:30:30,116,3.4542196
2003-02-15 20:24:30,2003-02-15 21:22:00,116,2.9037204
2003-01-10 16:13:00,2003-01-10 17:10:30,116,1.377909
2003-02-05 18:47:00,2003-02-05 19:43:30,114,3.1683846
2003-06-24 06:30:00,2003-06-24 07:23:30,108,0.16181709
2003-06-30 05:20:00,2003-06-30 06:13:00,107,0.25412047
2002-12-15 15:58:00,2002-12-15 16:51:00,107,0.09197039
2002-12-09 16:03:30,2002-12-09 16:54:00,102,0.44969234
2002-12-29 17:18:30,2002-12-29 18:08:30,101,0.5564732
2002-12-18 08:18:00,2002-12-18 09:06:30,98,0.12473772
2003-06-07 05:15:30,2003-06-07 05:59:30,89,2.7016168
2003-01-08 16:47:00,2003-01-08 17:30:00,87,1.058302
2003-01-16 16:11:30,2003-01-16 16:53:00,84,0.5000093
2002-12-23 17:29:30,2002-12-23 18:09:00,80,0.056267805
2002-10-07 20:18:30,2002-10-07 20:58:00,80,3.1398132
2003-02-24 19:54:00,2003-02-24 20:33:00,79,2.8878233
2003-05-04 09:31:00,2003-05-04 10:09:30,78,1.5911795
2003-01-25 15:18:30,2003-01-25 15:56:00,76,0.13989688
2003-01-01 17:05:30,2003-01-01 17:42:30,75,0.4054772
2002-12-14 23:13:30,2002-12-14 23:50:00,74,0.16170469
2002-12-20 17:42:30,2002-12-20 18:18:30,73,0.25252157
2003-01-23 11:21:30,2003-01-23 11:56:00,70,0.46060115
2003-01-04 16:54:30,2003-01-04 17:28:30,69,0.1937363
2003-05-25 23:35:30,2003-05-26 00:09:30,69,2.554572
2003-03-17 18:41:00,2003-03-17 19:14:30,68,2.8431008
2003-03-22 00:31:00,2003-03-22 01:04:00,67,1.3009752
2003-03-14 18:51:30,2003-03-14 19:24:00,66,2.653215
2003-01-22 13:42:30,2003-01-22 14:14:00,64,0.053726003
2003-04-07 17:30:00,2003-04-07 18:01:00,63,3.0441349
2003-01-31 15:14:00,2003-01-31 15:44:30,62,3.4714313
2002-11-21 13:01:30,2002-11-21 13:30:30,59,3.1881764
2003-04-10 17:17:30,2003-04-10 17:46:30,59,3.6554358
2002-12-25 19:16:00,2002-12-25 19:44:30,58,0.22110552
2003-06-10 04:00:00,2003-06-10 04:28:30,58,0.6546054
2002-12-17 19:28:00,2002-12-17 19:56:00,57,0.26499936
2002-11-29 02:29:30,2002-11-29 02:57:30,57,2.9782782
2003-01-13 16:22:00,2003-01-13 16:49:30,56,0.06995686
2002-12-21 09:18:30,2002-12-21 09:45:30,55,0.5673697
2002-12-20 04:42:30,2002-12-20 05:08:30,53,0.19512899
2003-01-28 15:28:00,2003-01-28 15:53:30,52,0.085485734
2003-01-19 13:53:30,2003-01-19 14:19:00,52,1.9185542
2003-01-20 11:35:00,2003-01-20 11:57:30,46,1.2723081
2002-11-11 03:47:30,2002-11-11 04:09:30,45,2.728247
2002-12-19 02:43:30,2002-12-19 03:05:00,44,0.57979834
2003-02-20 15:43:00,2003-02-20 16:01:00,37,3.6624477
2002-11-19 22:55:00,2002-11-19 23:12:30,36,0.06807435
2003-02-27 19:43:30,2003-02-27 20:01:00,36,2.743137
2002-12-26 17:16:30,2002-12-26 17:33:30,35,0.15132944
2002-12-27 08:37:00,2002-12-27 08:53:00,33,0.0338308
2002-11-29 03:16:30,2002-11-29 03:32:00,32,0.14164515
2002-12-24 08:53:00,2002-12-24 09:07:30,30,0.1851317
2002-12-19 19:30:30,2002-12-19 19:31:30,3,0.050394304
